model_name,timestamp,epoch,train_loss,valid_loss,accuracy,lr
deit_tiny_patch16_224,2025-10-17T16:49:54.080025,29,3.7276103496551514,3.6344363689422607,0.1090269610285759,0.00013706740281506274
deit_tiny_patch16_224,2025-10-17T16:49:54.080033,30,3.7417256832122803,3.6720261573791504,0.09847597032785416,0.00013978788663393448
deit_tiny_patch16_224,2025-10-17T16:49:54.080040,31,3.7259435653686523,3.6191086769104004,0.11371629685163498,0.0001427079684304264
deit_tiny_patch16_224,2025-10-17T16:49:54.080047,32,3.7100706100463867,3.604799509048462,0.11254396289587021,0.00014582723781343196
deit_tiny_patch16_224,2025-10-17T16:49:54.080056,33,3.703953504562378,3.6117396354675293,0.1172332912683487,0.00014914525639782902
deit_tiny_patch16_224,2025-10-17T16:49:54.080067,34,3.6946780681610107,3.6441097259521484,0.10550996661186218,0.00015266155786609138
deit_tiny_patch16_224,2025-10-17T16:49:54.080078,35,3.694481611251831,3.6031241416931152,0.11254396289587021,0.00015637564803382597
deit_tiny_patch16_224,2025-10-17T16:49:54.080092,36,3.6832165718078613,3.5973451137542725,0.12309496104717255,4e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080104,37,3.704606771469116,3.5856447219848633,0.1090269610285759,4.003372983104283e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080116,38,3.6880276203155518,3.6371023654937744,0.11488863080739975,4.0134914583748496e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080129,39,3.687027931213379,3.606544017791748,0.11488863080739975,4.030354003751438e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080140,40,3.6801533699035645,3.612208604812622,0.10668230056762695,4.053958249355685e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080152,41,3.68965744972229,3.584750175476074,0.11137162894010544,4.084300877824198e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080164,42,3.677349805831909,3.623595714569092,0.11019929498434067,4.121377624774756e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080176,43,3.6711082458496094,3.551710367202759,0.11137162894010544,4.165183279405652e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080185,44,3.6454029083251953,3.543153762817383,0.11019929498434067,4.2157116852280154e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080196,45,3.639403820037842,3.587238073348999,0.1008206307888031,4.2729557409310444e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080208,46,3.627237558364868,3.546231508255005,0.10199296474456787,4.336907401380046e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080217,47,3.6184427738189697,3.555438280105591,0.120750293135643,4.407557678747099e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080225,48,3.629673480987549,3.5717661380767822,0.1172332912683487,4.4848966437741996e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080235,49,3.606066942214966,3.5473949909210205,0.11606096476316452,4.5689134271687575e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080249,50,3.597214937210083,3.5475847721099854,0.11606096476316452,4.65959622113115e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080261,51,3.622191905975342,3.5402562618255615,0.1172332912683487,4.756932281014214e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080273,52,3.617300271987915,3.531660318374634,0.11488863080739975,4.860907927114399e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080284,53,3.615718364715576,3.5758519172668457,0.1172332912683487,4.9715085465943006e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080297,54,3.6210732460021973,3.559537649154663,0.10785462707281113,5.0887185955363794e-05
deit_tiny_patch16_224,2025-10-17T16:49:54.080307,55,3.6248834133148193,3.524092435836792,0.11840562522411346,5.212521601127533e-05
